FECHA;HORA_UTC;LATITUD (grados);LONGITUD (grados);PROFUNDIDAD (Km);MAGNITUD Ml;MAGNITUD Mw;DEPARTAMENTO;MUNICIPIO;# FASES;RMS (Seg);GAP (grados);ERROR LATITUD (Km);ERROR LONGITUD (Km);ERROR PROFUNDIDAD (Km);ESTADO
1996-12-05;01:58:33;9,41;-73,33;3;3,4;;CESAR;LA_JAGUA_DE_IBIRICO;0; 0.90;0;0;0;0;Revisado
1997-03-20;20:52:59;9,412;-73,404;0;3,7;;CESAR;LA_JAGUA_DE_IBIRICO;5; 0.70;333;21,9;90,7;24,4;Revisado
1997-06-09;15:57:09;9,705;-73,45;2,4;3;;CESAR;BECERRIL;4; 0.60;199;5,3;20,8;12,4;Revisado
1997-12-11;18:55:17;9,563;-73,579;4;3;;CESAR;EL_PASO;4; 0.50;186;81,3;48,4;16,2;Revisado
1998-08-12;03:41:48;9,749;-73,302;8;2,8;;CESAR;BECERRIL;3; 0.20;206;25;98;38,7;Revisado
1999-05-09;07:57:10;9,764;-73,544;0;3,5;;CESAR;EL_PASO;8; 0.70;201;7,1;20,1;28,1;Revisado
1999-05-14;03:18:14;9,489;-73,445;4;3,1;;CESAR;LA_JAGUA_DE_IBIRICO;5; 1.00;194;27,4;56,8;40,2;Revisado
2001-08-28;17:49:28;9,721;-73,427;0;3,1;;CESAR;BECERRIL;5; 1.40;198;39,4;37,1;89,6;Revisado
2001-09-10;17:01:12;9,608;-73,447;0;2,7;;CESAR;LA_JAGUA_DE_IBIRICO;4; 1.20;196;50,7;39,9;0,3;Revisado
2001-10-22;16:58:57;9,616;-73,413;0;2,8;;CESAR;LA_JAGUA_DE_IBIRICO;5; 0.80;197;50,5;3,5;44,2;Revisado
2001-12-03;16:49:56;9,617;-73,54;0;3;;CESAR;LA_JAGUA_DE_IBIRICO;4; 0.80;190;99,9;99,9;95,7;Revisado
2001-12-09;18:31:44;9,653;-73,402;0;2,7;;CESAR;LA_JAGUA_DE_IBIRICO;5; 1.40;199;27,9;5,1;95,9;Revisado
2001-12-20;18:27:26;9,621;-73,404;0;2,9;;CESAR;LA_JAGUA_DE_IBIRICO;4; 1.40;198;86,1;48,8;80,3;Revisado
2002-01-08;11:20:22;9,53;-73,377;15,3;2,6;;CESAR;LA_JAGUA_DE_IBIRICO;5; 0.40;198;4,9;18,4;15,9;Revisado
2002-03-05;04:41:31;9,621;-73,676;4;2,8;;CESAR;EL_PASO;4; 0.50;179;4,6;10,6;8,8;Revisado
2002-07-01;14:49:31;9,713;-73,629;4,2;2,9;;CESAR;EL_PASO;4; 0.50;185;9,4;33,5;23,9;Revisado
2002-07-06;03:54:53;9,682;-73,56;0;2,9;;CESAR;EL_PASO;4; 0.50;189;99,9;99,9;99,9;Revisado
2005-01-11;18:37:19;9,75;-73,534;0;3,1;;CESAR;EL_PASO;4; 0.40;192;73,1;95,1;31,4;Revisado
2005-02-03;11:17:38;9,664;-73,579;8,3;3;;CESAR;EL_PASO;4; 0.10;320;6,3;16,1;12,7;Revisado
2005-11-09;17:08:47;9,729;-73,469;0;3;;CESAR;BECERRIL;4; 1.00;197;20,3;72,7;33,5;Revisado
2006-08-25;02:25:50;9,763;-73,654;0;3,2;;CESAR;EL_PASO;4; 0.30;319;17,9;15,9;14;Revisado
2006-11-12;18:30:55;9,452;-73,352;0;3;;CESAR;LA_JAGUA_DE_IBIRICO;4; 1.10;321;57,3;70,7;70,4;Revisado
2007-04-05;05:55:11;9,771;-73,749;1,4;2,4;;CESAR;EL_PASO;4; 0.50;177;4,5;16,4;10,8;Revisado
2008-04-04;17:00:25;9,388;-73,512;0;2,3;;CESAR;CHIRIGUANA;6; 1.00;276;74;67,7;78;Revisado
2008-05-05;17:46:49;9,612;-73,508;0,2;2,5;;CESAR;LA_JAGUA_DE_IBIRICO;4; 0.60;192;4,5;12,8;10,5;Revisado
2009-02-17;11:01:15;9,702;-73,427;3,9;2,6;;CESAR;BECERRIL;4; 0.40;199;13,8;58,8;16;Revisado
2009-04-08;17:43:31;9,663;-73,714;0,7;2,3;;CESAR;EL_PASO;5; 0.60;167;3,9;11,5;10,4;Revisado
2009-06-07;22:59:49;9,622;-73,535;0;2,1;;CESAR;LA_JAGUA_DE_IBIRICO;6; 0.40;293;24,1;37,6;26,6;Revisado
2009-06-12;17:42:53;9,672;-73,315;0;2,2;;CESAR;BECERRIL;5; 0.90;185;9,8;14,6;16,9;Revisado
2009-06-18;17:51:33;9,6;-73,385;10;2,2;;CESAR;LA_JAGUA_DE_IBIRICO;4; 0.20;266;7,3;5,7;10,1;Revisado
2009-08-28;17:53:53;9,538;-73,567;0;2,7;;CESAR;CHIRIGUANA;5; 0.60;261;13,8;15,4;15,8;Revisado
2009-09-23;22:44:49;9,719;-73,737;0;2,1;;CESAR;EL_PASO;6; 0.40;221;5,5;17,6;16,9;Revisado
2009-10-13;17:45:48;9,617;-73,569;4;2,7;;CESAR;EL_PASO;5; 0.50;224;8,4;16,2;15,5;Revisado
2009-10-18;17:46:58;9,519;-73,496;4;2,4;;CESAR;LA_JAGUA_DE_IBIRICO;5; 0.90;143;13,4;15,9;31,4;Revisado
2009-10-28;17:40:10;9,694;-73,636;0;2,6;;CESAR;EL_PASO;4; 0.50;217;5,5;13,5;18,4;Revisado
2009-10-28;17:50:10;9,56;-73,682;0;2,7;;CESAR;EL_PASO;5; 0.50;282;12,1;20,1;20,7;Revisado
2009-11-03;17:45:40;9,47;-73,373;0;2,2;;CESAR;LA_JAGUA_DE_IBIRICO;4; 0.90;144;7,5;10,1;22,1;Revisado
2009-11-10;17:45:35;9,521;-73,531;0;2,4;;CESAR;CHIRIGUANA;4; 0.60;332;20,9;29;19,8;Revisado
2009-11-15;22:45:25;9,442;-73,546;0;2,4;;CESAR;CHIRIGUANA;4; 0.30;210;4,2;16,6;10,2;Revisado
2009-11-28;17:42:22;9,464;-73,459;0;2,3;3,5;CESAR;LA_JAGUA_DE_IBIRICO;6; 0.70;140;11,9;13,2;15,4;Revisado
2009-12-12;17:46:57;9,375;-73,407;2;2,3;;CESAR;CHIRIGUANA;5; 0.20;280;10,8;10,7;8,9;Revisado
2009-12-24;17:45:37;9,589;-73,598;0;2,6;;CESAR;EL_PASO;6; 0.50;215;11,8;7,7;18,3;Revisado
2010-01-06;17:43:34;9,51;-73,413;2,3;2,9;;CESAR;LA_JAGUA_DE_IBIRICO;8; 0.50;211;9,2;8,2;15,9;Revisado
2010-01-10;22:55:38;9,653;-73,598;0;2,2;3;CESAR;EL_PASO;4; 0.10;296;10,6;16,5;12,1;Revisado
2010-02-20;17:46:29;9,361;-73,54;0;2,1;;CESAR;CHIRIGUANA;7; 0.50;205;8,7;8,1;9,5;Revisado
2010-03-10;17:46:28;9,46;-73,394;16;2,4;;CESAR;LA_JAGUA_DE_IBIRICO;5; 0.50;138;5,6;4,4;17,7;Revisado
2010-03-31;17:46:10;9,459;-73,508;0;2,7;;CESAR;CHIRIGUANA;6; 0.50;209;7,8;7,3;15,9;Revisado
2010-04-04;17:43:56;9,467;-73,486;0;2,7;;CESAR;CHIRIGUANA;7; 0.50;141;4,4;5,3;7,6;Revisado
2010-04-18;07:12:43;9,472;-73,688;0,3;2,2;;CESAR;CHIRIGUANA;4; 0.80;146;7,1;10,5;13,9;Revisado
2010-04-24;16:42:37;9,689;-73,559;0;2,4;;CESAR;EL_PASO;7; 0.50;151;12,2;14,7;17,4;Revisado
2010-04-29;17:47:10;9,536;-73,717;0;2,5;;CESAR;EL_PASO;6; 0.40;235;6,3;41,2;18,5;Revisado
2010-05-03;17:45:17;9,41;-73,479;0;2,3;;CESAR;CHIRIGUANA;8; 0.30;207;4,9;4,1;9,3;Revisado
2010-05-05;17:41:35;9,479;-73,565;0;2,4;;CESAR;CHIRIGUANA;6; 0.60;278;17,8;20,7;18,3;Revisado
2010-05-09;17:50:57;9,564;-73,574;0;2,3;;CESAR;EL_PASO;6; 0.40;332;16,4;21,3;17;Revisado
2010-05-13;17:46:15;9,592;-73,39;0;2,4;;CESAR;LA_JAGUA_DE_IBIRICO;7; 0.60;271;17,7;12,5;14;Revisado
2010-05-14;17:45:00;9,543;-73,646;0;2,4;;CESAR;EL_PASO;6; 0.50;342;17,6;40,4;22,3;Revisado
2010-05-15;16:38:55;9,815;-73,53;2;2,2;;CESAR;EL_PASO;6; 0.50;336;17,9;30,1;19,5;Revisado
2010-05-20;17:15:07;9,694;-73,737;13,8;2,1;;CESAR;EL_PASO;6; 0.40;236;13,5;27,8;36,4;Revisado
2010-05-21;17:50:13;9,501;-73,467;0;2,2;;CESAR;LA_JAGUA_DE_IBIRICO;7; 0.60;210;17,8;15,8;18,8;Revisado
2010-05-22;17:48:00;9,57;-73,748;0,1;2,5;;CESAR;EL_PASO;5; 0.70;300;30,9;76,1;40,9;Revisado
2010-05-23;17:29:23;9,536;-73,759;3,3;1,8;;CESAR;EL_PASO;4; 0.50;349;17,9;20,8;47;Revisado
2010-05-23;17:54:36;9,463;-73,552;0;2;;CESAR;CHIRIGUANA;6; 0.50;209;13,2;11,6;14,6;Revisado
2010-05-25;17:46:05;9,563;-73,32;0;2,5;;CESAR;LA_JAGUA_DE_IBIRICO;6; 0.70;140;6,6;7,5;10,9;Revisado
2010-05-27;17:04:01;9,524;-73,538;0;2,1;;CESAR;CHIRIGUANA;4; 0.50;265;17,2;16,8;13,8;Revisado
2010-06-03;17:44:51;9,493;-73,719;1;2,6;;CESAR;EL_PASO;7; 0.40;228;4;12,1;9,3;Revisado
2010-06-06;20:00:30;9,494;-73,472;3,9;2,2;;CESAR;LA_JAGUA_DE_IBIRICO;6; 0.20;142;4,5;6,4;10,8;Revisado
2010-06-08;17:23:01;9,572;-73,525;12;2;;CESAR;LA_JAGUA_DE_IBIRICO;4; 0.60;292;13,5;23,2;15;Revisado
2010-06-09;17:44:29;9,598;-73,727;0;1,9;;CESAR;EL_PASO;5; 0.60;265;19,5;17,3;15,3;Revisado
2010-06-11;17:13:05;9,732;-73,439;0;1,7;;CESAR;BECERRIL;5; 0.40;274;12,5;8,5;12,5;Revisado
2010-06-11;17:20:34;9,562;-73,645;0;1,5;;CESAR;EL_PASO;4; 0.10;347;16,6;49;23,2;Revisado
2010-06-14;17:49:13;9,472;-73,421;0;2,4;;CESAR;LA_JAGUA_DE_IBIRICO;6; 0.60;140;8,2;8;11;Revisado
2010-06-20;16:19:31;9,469;-73,525;0;2,3;;CESAR;CHIRIGUANA;7; 0.40;142;4;8;8,2;Revisado
2010-06-22;17:43:00;9,401;-73,503;0;2;;CESAR;CHIRIGUANA;6; 0.60;139;5,5;10,3;10,9;Revisado
2010-06-29;17:30:35;9,608;-73,59;0;1,7;;CESAR;EL_PASO;5; 0.40;295;22,4;35,8;26,2;Revisado
2010-07-01;10:54:18;9,585;-73,567;0;1,8;;CESAR;EL_PASO;5; 0.50;294;27,8;55;33,9;Revisado
2010-07-05;17:32:13;9,593;-73,557;0;2,4;;CESAR;EL_PASO;6; 0.50;280;18,9;26,2;20,5;Revisado
2010-07-09;17:20:38;9,523;-73,331;0;2,2;;CESAR;LA_JAGUA_DE_IBIRICO;6; 0.50;211;10,7;10,2;10,9;Revisado
2010-07-09;17:47:54;9,428;-73,531;0,1;1,9;;CESAR;CHIRIGUANA;5; 0.40;262;24,3;16,7;22,6;Revisado
2010-07-16;16:34:31;9,406;-73,394;0;2,5;;CESAR;LA_JAGUA_DE_IBIRICO;4; 0.60;137;6,8;16,7;16;Revisado
2010-07-23;02:51:19;9,885;-73,311;5,3;1,9;;CESAR;AGUSTIN_CODAZZI;4; 0.40;215;8;27,9;20,1;Revisado
2010-07-23;17:49:47;9,486;-73,567;0;2,4;;CESAR;CHIRIGUANA;6; 0.50;144;4,7;11,5;9,8;Revisado
2010-07-25;17:46:13;9,556;-73,532;0;2,9;;CESAR;LA_JAGUA_DE_IBIRICO;9; 0.50;145;6,2;7,5;8,1;Revisado
2010-07-29;17:44:24;9,482;-73,462;0;2,6;;CESAR;LA_JAGUA_DE_IBIRICO;7; 0.50;141;6,6;8,9;16,7;Revisado
2010-08-02;18:02:33;9,546;-73,484;0,1;2,8;;CESAR;LA_JAGUA_DE_IBIRICO;6; 0.60;144;7,4;9,2;16,1;Revisado
2010-08-06;17:52:02;9,355;-73,349;0;2,6;;CESAR;LA_JAGUA_DE_IBIRICO;7; 0.50;134;10,7;10,6;22,7;Revisado
2010-08-12;17:45:33;9,66;-73,641;0;2,7;;CESAR;EL_PASO;5; 0.50;315;13,5;31,4;17,9;Revisado
2010-08-14;17:45:06;9,518;-73,448;0,1;2,4;;CESAR;LA_JAGUA_DE_IBIRICO;7; 0.60;142;9,2;8,7;15,2;Revisado
2010-08-17;17:48:07;9,433;-73,583;0;2,6;;CESAR;CHIRIGUANA;6; 0.60;142;12,2;9,7;14;Revisado
2010-08-22;17:50:19;9,456;-73,544;0;2,2;;CESAR;CHIRIGUANA;6; 0.60;209;15,7;12,9;16,8;Revisado
2010-08-25;18:04:43;9,517;-73,368;0;2,3;;CESAR;LA_JAGUA_DE_IBIRICO;5; 0.60;269;17,3;16,4;19,2;Revisado
2010-08-27;17:47:39;9,452;-73,373;0;2,5;;CESAR;LA_JAGUA_DE_IBIRICO;6; 0.80;138;16;23,3;34,6;Revisado
2010-08-28;03:15:02;9,462;-73,718;0;1,6;;CESAR;CHIRIGUANA;4; 0.50;235;8,7;97,4;43;Revisado
2010-08-29;17:31:53;9,508;-73,452;0;2;;CESAR;LA_JAGUA_DE_IBIRICO;4; 0.40;332;19;32,7;24,5;Revisado
2010-09-02;18:02:16;9,482;-73,683;0;2,7;;CESAR;CHIRIGUANA;5; 0.60;146;6,3;15,5;14,5;Revisado
2010-09-03;17:29:46;9,553;-73,553;0;2,5;;CESAR;CHIRIGUANA;4; 0.50;332;17;21,1;15,7;Revisado
2010-09-11;17:47:45;9,61;-73,501;0;2,8;;CESAR;LA_JAGUA_DE_IBIRICO;7; 0.60;211;13;39,1;24,6;Revisado
2010-09-12;17:47:07;9,606;-73,47;0;2,4;;CESAR;LA_JAGUA_DE_IBIRICO;6; 0.70;146;12,7;21,2;20,9;Revisado
2010-09-16;17:44:58;9,363;-73,36;0;2,4;;CESAR;LA_JAGUA_DE_IBIRICO;5; 0.50;134;4;6,6;8,8;Revisado
2010-09-22;17:45:53;9,551;-73,38;0;2,2;;CESAR;LA_JAGUA_DE_IBIRICO;5; 0.60;141;7,5;10,1;11,6;Revisado
2010-09-24;17:45:35;9,502;-73,393;0;2,6;;CESAR;LA_JAGUA_DE_IBIRICO;7; 0.40;268;11,9;11,1;14;Revisado
2010-09-27;17:45:05;9,451;-73,484;0;2,5;;CESAR;CHIRIGUANA;7; 0.60;140;5,8;7,9;10,3;Revisado
2010-10-08;17:46:04;9,382;-73,33;9,7;2,5;;CESAR;LA_JAGUA_DE_IBIRICO;6; 0.70;136;14,1;12,3;23,8;Revisado
2010-10-14;22:58:21;9,493;-73,313;0;2,4;;CESAR;LA_JAGUA_DE_IBIRICO;5; 0.70;137;6,6;14,4;16,4;Revisado
2010-10-25;17:45:06;9,439;-73,53;0;2,7;;CESAR;CHIRIGUANA;5; 0.40;331;18,2;26,4;22,2;Revisado
2010-10-26;17:47:49;9,55;-73,464;1,7;2,7;;CESAR;LA_JAGUA_DE_IBIRICO;6; 0.50;143;5,5;7,2;11,4;Revisado
2010-10-27;17:44:28;9,42;-73,399;0;2,5;;CESAR;LA_JAGUA_DE_IBIRICO;6; 0.50;331;21,6;22,9;20,8;Revisado
2010-10-28;17:43:48;9,534;-73,345;0;2,5;;CESAR;LA_JAGUA_DE_IBIRICO;5; 0.40;140;5,2;7,5;11,2;Revisado
2010-10-29;17:46:40;9,542;-73,428;0;2,5;;CESAR;LA_JAGUA_DE_IBIRICO;8; 0.60;268;16,9;12,3;16,1;Revisado
2010-10-31;17:43:07;9,495;-73,418;0;2,4;;CESAR;LA_JAGUA_DE_IBIRICO;7; 0.50;140;5,1;6,5;9,5;Revisado
2010-11-03;17:48:53;9,446;-73,404;0;2,3;;CESAR;LA_JAGUA_DE_IBIRICO;4; 0.40;144;4,7;6,4;7,4;Revisado
2010-11-06;17:57:42;9,523;-73,374;0;2,8;;CESAR;LA_JAGUA_DE_IBIRICO;5; 0.40;140;7,6;8,4;12,9;Revisado
2010-11-10;17:47:38;9,476;-73,709;2,2;2;;CESAR;CHIRIGUANA;4; 0.10;235;6,8;66,7;29,3;Revisado
2010-11-18;17:42:16;9,49;-73,381;0;2,5;;CESAR;LA_JAGUA_DE_IBIRICO;7; 0.50;139;5,5;7,1;9,4;Revisado
2010-11-19;17:45:16;9,474;-73,461;2;2,1;;CESAR;LA_JAGUA_DE_IBIRICO;5; 0.50;141;4,3;6,8;11,1;Revisado
2010-11-29;17:53:11;9,435;-73,559;0;2,1;;CESAR;CHIRIGUANA;5; 0.50;261;30,6;19,5;17,1;Revisado
2010-12-11;17:48:03;9,502;-73,512;0;2,1;;CESAR;CHIRIGUANA;4; 0.50;265;12,6;10,3;11,6;Revisado
2010-12-19;17:47:45;9,488;-73,375;0;2,5;;CESAR;LA_JAGUA_DE_IBIRICO;4; 0.70;139;13,4;13,9;26,8;Revisado
2010-12-28;17:42:38;9,472;-73,542;0,5;2,6;;CESAR;CHIRIGUANA;6; 0.60;143;7,2;8,1;10,8;Revisado
2011-01-11;17:52:35;9,516;-73,374;0;2,4;;CESAR;LA_JAGUA_DE_IBIRICO;4; 0.50;269;15,5;12,4;14,2;Revisado
2011-01-12;17:47:29;9,54;-73,371;0;2,6;;CESAR;LA_JAGUA_DE_IBIRICO;5; 0.50;270;16,7;13,3;15,3;Revisado
2011-01-13;17:55:22;9,447;-73,387;0;2,5;;CESAR;LA_JAGUA_DE_IBIRICO;7; 0.50;138;7,1;10,3;10,9;Revisado
2011-01-14;17:47:44;9,618;-73,349;0;2,3;;CESAR;LA_JAGUA_DE_IBIRICO;5; 0.60;215;12,4;8,3;18,6;Revisado
2011-01-16;22:47:28;9,634;-73,372;0;1,8;;CESAR;LA_JAGUA_DE_IBIRICO;4; 0.40;216;7,7;8;12,6;Revisado
2011-01-19;17:44:25;9,409;-73,512;0;2,4;;CESAR;CHIRIGUANA;4; 0.60;207;10,9;9,8;17,6;Revisado
2011-01-21;17:42:02;9,65;-73,476;0,4;2,4;;CESAR;LA_JAGUA_DE_IBIRICO;5; 0.40;147;6,5;5,8;11,1;Revisado
2011-01-25;17:46:16;9,445;-73,355;0;2,1;;CESAR;LA_JAGUA_DE_IBIRICO;4; 0.60;267;21,7;14,7;14,5;Revisado
2011-01-28;17:45:02;9,491;-73,464;0;2;;CESAR;LA_JAGUA_DE_IBIRICO;4; 0.80;266;24,8;34,7;26,3;Revisado
2011-02-06;17:45:31;9,461;-73,448;0;2,2;;CESAR;LA_JAGUA_DE_IBIRICO;5; 0.50;209;9,7;7,4;12,7;Revisado
2011-02-11;17:43:49;9,573;-73,382;0;2,3;;CESAR;LA_JAGUA_DE_IBIRICO;4; 0.50;270;19,9;14,1;14;Revisado
