FECHA;HORA_UTC;LATITUD (grados);LONGITUD (grados);PROFUNDIDAD (Km);MAGNITUD Ml;MAGNITUD Mw;DEPARTAMENTO;MUNICIPIO;# FASES;RMS (Seg);GAP (grados);ERROR LATITUD (Km);ERROR LONGITUD (Km);ERROR PROFUNDIDAD (Km);ESTADO
2012-04-06;17:42:05;9,601;-73,562;4;2,1;;CESAR;EL_PASO;5; 0.60;167;3,4;10,9;13,9;Revisado
2012-04-10;17:42:53;9,611;-73,312;0;1,8;;CESAR;LA_JAGUA_DE_IBIRICO;5; 0.40;187;3,5;9,4;10,7;Revisado
2012-04-16;17:46:52;9,577;-73,479;0;1,7;;CESAR;LA_JAGUA_DE_IBIRICO;4; 0.40;155;2,2;11,4;8,2;Revisado
2012-04-18;17:17:09;9,613;-73,443;3,1;1,9;;CESAR;LA_JAGUA_DE_IBIRICO;4; 0.40;162;2,3;16,9;7,9;Revisado
2012-04-20;17:42:45;9,619;-73,42;0;2,2;;CESAR;LA_JAGUA_DE_IBIRICO;5; 0.40;167;2;6,8;7,3;Revisado
2012-04-22;17:56:52;9,592;-73,629;0;2,1;;CESAR;EL_PASO;5; 0.40;187;4,6;27;14,5;Revisado
2012-04-23;17:14:54;9,629;-73,738;0;2,3;;CESAR;EL_PASO;4; 0.40;236;7,3;31,2;14,6;Revisado
2012-04-24;21:35:37;9,841;-73,424;0;1,8;;CESAR;BECERRIL;4; 0.40;137;5,6;8,5;10,1;Revisado
2012-05-13;17:18:05;9,629;-73,362;0;2,3;;CESAR;LA_JAGUA_DE_IBIRICO;4; 0.40;179;4,1;15,9;13,4;Revisado
2012-05-17;17:25:34;9,815;-73,413;0;1,7;;CESAR;BECERRIL;4; 0.30;164;3;9,2;8,5;Revisado
2012-05-17;17:48:28;9,603;-73,366;0;2,1;;CESAR;LA_JAGUA_DE_IBIRICO;6; 0.40;171;2,4;7,1;10,7;Revisado
2012-05-19;17:39:21;9,638;-73,721;2;1,3;;CESAR;EL_PASO;4; 0.40;122;3,5;4;9,5;Revisado
2012-05-20;17:56:03;9,739;-73,326;0;1,9;;CESAR;BECERRIL;4; 0.50;211;5,2;16,3;17,2;Revisado
2012-05-21;23:02:04;9,77;-73,691;2;2,1;;CESAR;EL_PASO;4; 0.30;208;6,8;15,2;9,1;Revisado
2012-05-23;17:30:27;9,829;-73,384;0;1,9;;CESAR;BECERRIL;5; 0.30;167;3,8;6,4;7,6;Revisado
2012-05-27;17:31:30;9,824;-73,342;0;1,5;;CESAR;BECERRIL;4; 0.40;172;5,3;7,1;6,6;Revisado
2012-05-28;17:42:25;9,57;-73,319;4;2,6;;CESAR;LA_JAGUA_DE_IBIRICO;6; 0.40;161;2,4;6,8;6,6;Revisado
2012-06-03;17:36:13;9,819;-73,398;0;1,9;;CESAR;BECERRIL;6; 0.50;186;6,7;9,4;9,7;Revisado
2012-06-14;17:23:07;9,611;-73,424;0;2;;CESAR;LA_JAGUA_DE_IBIRICO;5; 0.50;166;2,7;7,6;8,5;Revisado
2012-06-18;17:33:55;9,594;-73,524;0,6;2,5;;CESAR;LA_JAGUA_DE_IBIRICO;5; 0.60;147;4,6;9,1;14;Revisado
2012-06-24;17:39:53;9,627;-73,317;0;2;;CESAR;LA_JAGUA_DE_IBIRICO;6; 0.40;187;4;8,1;9,2;Revisado
2012-07-08;22:12:10;9,634;-73,518;0;2,3;;CESAR;LA_JAGUA_DE_IBIRICO;8; 0.50;144;2,9;6,3;10,3;Revisado
2012-07-09;17:38:47;9,634;-73,509;0;2,1;;CESAR;LA_JAGUA_DE_IBIRICO;5; 0.30;145;1,8;3,8;5,8;Revisado
2012-07-12;22:11:16;9,651;-73,508;0;2;;CESAR;LA_JAGUA_DE_IBIRICO;5; 0.40;145;2,3;4,8;6,6;Revisado
2012-07-29;11:30:01;9,589;-73,35;0;2,2;;CESAR;LA_JAGUA_DE_IBIRICO;4; 0.40;244;9,1;11,4;9,5;Revisado
2012-08-03;11:32:34;9,374;-73,717;0;1,8;;CESAR;CHIRIGUANA;5; 0.30;224;11,5;10,4;16,5;Revisado
2012-08-05;11:25:09;9,702;-73,432;0,1;2,3;;CESAR;BECERRIL;4; 0.50;140;3,3;5,7;11,4;Revisado
2012-08-05;11:27:46;9,466;-73,484;0;2,2;;CESAR;CHIRIGUANA;4; 0.50;139;4,3;6,4;11,9;Revisado
2012-08-07;11:24:27;9,431;-73,457;0;2,2;;CESAR;CHIRIGUANA;5; 0.50;141;3,5;4,8;8,5;Revisado
2012-09-10;17:42:47;9,661;-73,473;1,2;2,3;;CESAR;LA_JAGUA_DE_IBIRICO;5; 0.50;126;5;5,5;10,8;Revisado
2012-10-04;22:16:13;9,616;-73,479;0;2,4;;CESAR;LA_JAGUA_DE_IBIRICO;6; 0.50;146;4,2;5;7;Revisado
2012-10-06;22:21:44;9,607;-73,71;0;2,4;;CESAR;EL_PASO;6; 0.20;133;2,1;6;7,2;Revisado
2012-10-09;22:19:57;9,675;-73,423;0,5;2,4;;CESAR;LA_JAGUA_DE_IBIRICO;4; 0.40;147;4,8;4;8,1;Revisado
2012-10-18;17:46:50;9,583;-73,717;1,2;2,1;;CESAR;EL_PASO;4; 0.50;134;3,6;7,7;9;Revisado
2012-10-29;17:50:06;9,441;-73,4;7,2;2,5;;CESAR;LA_JAGUA_DE_IBIRICO;6; 0.50;138;5,8;8,3;15,7;Revisado
2012-11-12;17:50:24;9,641;-73,65;0;1,9;;CESAR;EL_PASO;4; 0.60;148;5,1;7,2;9,8;Revisado
2012-11-18;15:06:47;9,539;-73,462;0,7;2,3;;CESAR;LA_JAGUA_DE_IBIRICO;6; 0.50;149;2,8;5,9;7,2;Revisado
2012-11-20;13:23:16;9,444;-73,469;4,1;2,7;;CESAR;CHIRIGUANA;11; 0.40;127;2,5;4,8;7,2;Revisado
2012-11-23;22:19:16;9,642;-73,519;4,3;1,8;;CESAR;LA_JAGUA_DE_IBIRICO;4; 0.60;161;8,2;21,2;22,4;Revisado
2012-12-05;07:01:13;9,424;-73,643;15;1,7;;CESAR;CHIRIGUANA;5; 0.20;129;1,2;2,4;4,1;Revisado
2013-01-30;17:31:54;9,694;-73,411;4;2,4;;CESAR;BECERRIL;5; 0.30;189;4,6;5,8;7,7;Revisado
2013-02-01;17:53:54;9,81;-73,403;0;2,1;;CESAR;BECERRIL;5; 0.50;251;14,8;13,6;18,2;Revisado
2013-02-02;17:24:41;9,775;-73,396;0;2,1;;CESAR;BECERRIL;4; 0.40;253;11,9;5,9;9;Revisado
2013-02-02;17:34:35;9,711;-73,468;0;1,8;;CESAR;BECERRIL;5; 0.50;246;6,9;8,8;10,1;Revisado
2013-02-04;17:55:08;9,481;-73,514;0;2,1;;CESAR;CHIRIGUANA;5; 0.50;235;9,2;6,5;10,9;Revisado
2013-04-16;21:10:58;9,779;-73,429;0;2,1;;CESAR;BECERRIL;6; 0.40;169;4,7;6,8;11,2;Revisado
2013-04-22;20:58:46;9,517;-73,408;0;2,1;;CESAR;LA_JAGUA_DE_IBIRICO;4; 0.50;181;4,4;11,1;12,6;Revisado
2013-05-07;20:52:28;9,759;-73,352;2;2,7;;CESAR;BECERRIL;5; 0.50;206;2,5;9,2;9,7;Revisado
2013-05-09;21:02:20;9,568;-73,397;0;2;;CESAR;LA_JAGUA_DE_IBIRICO;4; 0.50;184;2,2;6;8,3;Revisado
2013-05-22;17:09:59;9,405;-73,583;9,4;2;;CESAR;CHIRIGUANA;4; 0.10;153;0,9;2,1;3,5;Revisado
2013-05-28;18:05:49;9,733;-73,554;0;2,2;;CESAR;EL_PASO;4; 0.30;179;3,1;8,7;8,1;Revisado
2013-05-31;18:00:36;9,632;-73,59;1,3;2,6;;CESAR;EL_PASO;4; 0.40;175;2,6;5,7;6,6;Revisado
2013-06-02;17:24:38;9,579;-73,308;0;1,6;;CESAR;LA_JAGUA_DE_IBIRICO;4; 0.50;136;2,9;4,9;9;Revisado
2013-06-10;17:23:40;9,55;-73,346;14,6;2;;CESAR;LA_JAGUA_DE_IBIRICO;4; 0.20;250;3,5;7,3;7,6;Revisado
2013-08-11;07:53:32;9,817;-73,377;4;1,4;;CESAR;BECERRIL;7; 0.40;168;1,9;3,6;5,6;Revisado
2013-09-08;07:59:17;9,558;-73,511;4;1,6;;CESAR;LA_JAGUA_DE_IBIRICO;5; 0.40;135;2;3,7;6,9;Revisado
2013-10-30;02:06:03;9,709;-73,666;13,8;1,6;;CESAR;EL_PASO;4; 0.50;127;3,2;4,3;6;Revisado
2013-12-05;02:06:39;9,586;-73,381;0;1,6;;CESAR;LA_JAGUA_DE_IBIRICO;5; 0.40;145;1,9;3,8;5,6;Revisado
2013-12-07;20:26:25;9,857;-73,623;6,8;2;;CESAR;EL_PASO;5; 0.40;155;2,5;2;4,4;Revisado
2014-03-23;17:38:35;9,781;-73,335;0;2;;CESAR;BECERRIL;4; 0.50;214;2,7;9;8,9;Revisado
2014-04-18;17:24:47;9,805;-73,49;8,9;2,5;;CESAR;BECERRIL;6; 0.40;258;8,9;8,1;8,7;Revisado
2014-04-28;17:27:27;9,501;-73,373;0;2;;CESAR;LA_JAGUA_DE_IBIRICO;6; 0.60;193;7,3;6,5;12,6;Revisado
2014-04-29;17:27:58;9,728;-73,424;0;2;;CESAR;BECERRIL;7; 0.50;204;5,4;4,8;7,5;Revisado
2014-05-02;17:18:56;9,495;-73,357;0;2,1;;CESAR;LA_JAGUA_DE_IBIRICO;4; 0.40;240;4,1;4,6;7,1;Revisado
2014-06-21;21:09:39;9,534;-73,609;8,5;2,1;;CESAR;CHIRIGUANA;7; 0.60;220;8,5;10,5;8,5;Revisado
2014-06-28;17:33:00;9,451;-73,468;1,5;2;;CESAR;CHIRIGUANA;5; 0.40;222;7,1;8,9;6,8;Revisado
2014-07-04;19:28:22;9,508;-73,511;4,1;2,2;;CESAR;CHIRIGUANA;11; 0.50;183;3,7;5;5,7;Revisado
2014-07-30;03:12:44;9,418;-73,624;0;2;;CESAR;CHIRIGUANA;6; 0.40;130;2,3;3,2;5,6;Revisado
2014-09-01;17:43:44;9,471;-73,519;4,1;1,8;;CESAR;CHIRIGUANA;6; 0.40;234;4,4;3,7;5,3;Revisado
2014-09-12;22:19:51;9,592;-73,472;4,4;2,2;;CESAR;LA_JAGUA_DE_IBIRICO;6; 0.50;161;2,7;4,3;8;Revisado
2014-09-14;17:28:05;9,53;-73,363;1,3;1,8;;CESAR;LA_JAGUA_DE_IBIRICO;4; 0.50;242;6,2;8;11;Revisado
2014-10-14;17:48:17;9,62;-73,559;0;2;;CESAR;EL_PASO;5; 0.40;307;11,9;4,6;9,8;Revisado
2014-10-17;17:44:37;9,569;-73,559;0;1,9;;CESAR;CHIRIGUANA;6; 0.70;237;8;8,3;10,4;Revisado
2014-10-20;17:31:09;9,491;-73,362;0;2,1;;CESAR;LA_JAGUA_DE_IBIRICO;9; 0.50;180;5,3;4,8;6,9;Revisado
2014-10-25;17:23:06;9,558;-73,478;0;1,8;;CESAR;LA_JAGUA_DE_IBIRICO;5; 0.50;176;3,9;11;12,5;Revisado
2014-11-09;17:21:27;9,623;-73,34;0;2,2;;CESAR;LA_JAGUA_DE_IBIRICO;5; 0.60;132;4,2;5,3;8,1;Revisado
2014-11-17;17:41:17;9,588;-73,461;0;1,9;;CESAR;LA_JAGUA_DE_IBIRICO;6; 0.50;241;8,1;8,5;7,9;Revisado
2014-11-20;17:23:35;9,526;-73,338;0;1,8;;CESAR;LA_JAGUA_DE_IBIRICO;4; 0.40;233;9,6;11,8;9,5;Revisado
2014-11-21;17:43:01;9,49;-73,509;0;2,1;;CESAR;CHIRIGUANA;7; 0.30;125;2,3;2,7;4,4;Revisado
2014-11-28;17:27:29;9,79;-73,431;0;1,9;;CESAR;BECERRIL;6; 0.50;127;2,7;4,7;6,9;Revisado
2014-11-30;19:31:40;9,775;-73,551;0;1,9;;CESAR;EL_PASO;6; 0.40;133;2,1;2,7;5,4;Revisado
2014-11-30;22:46:12;9,626;-73,357;4,3;2,3;;CESAR;LA_JAGUA_DE_IBIRICO;6; 0.50;145;6,3;10,5;11,1;Revisado
2014-12-12;17:37:43;9,855;-73,691;18;1,8;;CESAR;EL_PASO;5; 0.80;124;7,9;18,6;16,2;Revisado
2014-12-14;16:37:17;9,675;-73,318;0;1,8;;CESAR;BECERRIL;5; 0.60;188;5,8;8,6;9,2;Revisado
2014-12-21;06:05:38;9,815;-73,372;4;1,3;;CESAR;BECERRIL;4; 0.20;193;2,1;2,6;4,6;Revisado
2014-12-21;14:16:20;9,773;-73,464;1,4;2,1;;CESAR;BECERRIL;11; 0.70;83;2,7;3,8;6,9;Revisado
2014-12-21;17:54:05;9,534;-73,385;0;1,9;;CESAR;LA_JAGUA_DE_IBIRICO;8; 0.70;159;4,2;6,8;10,4;Revisado
2015-01-16;22:45:33;9,591;-73,328;0,5;2;;CESAR;LA_JAGUA_DE_IBIRICO;6; 0.30;154;2,2;3,4;4,8;Revisado
2015-02-15;14:35:19;9,823;-73,557;0;2;;CESAR;EL_PASO;9; 0.40;90;2,3;4;5,6;Revisado
2015-02-15;17:49:33;9,603;-73,445;0;1,7;;CESAR;LA_JAGUA_DE_IBIRICO;4; 0.30;164;1,9;3,8;4,8;Revisado
2015-02-17;17:49:28;9,595;-73,55;0;2;;CESAR;EL_PASO;5; 0.50;172;3;5,8;6,9;Revisado
2015-02-19;17:33:55;9,753;-73,411;0;2,2;;CESAR;BECERRIL;6; 0.50;141;2,7;4,9;6,6;Revisado
2015-03-10;08:40:33;9,72;-73,461;7,8;2,8;2,8;CESAR;BECERRIL;6; 0.40;160;2,2;2,8;5,3;Revisado
2015-03-31;17:28:12;9,736;-73,409;0;1,9;;CESAR;BECERRIL;6; 0.50;141;2,6;4,3;7;Revisado
2015-04-02;17:47:07;9,562;-73,507;0;2,3;;CESAR;LA_JAGUA_DE_IBIRICO;12; 0.40;137;2,1;3;4,7;Revisado
2015-04-03;17:29:49;9,746;-73,452;0;2;;CESAR;BECERRIL;9; 0.60;139;2,4;4,3;6,7;Revisado
2015-04-03;17:41:11;9,609;-73,543;0;2;;CESAR;EL_PASO;4; 0.50;146;3,3;6,2;9,5;Revisado
2015-04-04;19:04:50;9,853;-73,677;2;2;;CESAR;EL_PASO;4; 0.40;193;4,6;9,7;7,6;Revisado
2015-04-04;19:42:51;9,58;-73,54;0;1,8;;CESAR;LA_JAGUA_DE_IBIRICO;6; 0.50;135;2,9;4,3;6,6;Revisado
2015-04-11;21:05:23;9,736;-73,436;0;2,2;;CESAR;BECERRIL;9; 0.50;108;2,3;3,3;5,4;Revisado
2015-08-15;20:35:23;9,527;-73,356;0;2,1;;CESAR;LA_JAGUA_DE_IBIRICO;6; 0.50;146;2,8;3,9;7;Revisado
2015-11-28;20:13:28;9,526;-73,511;0;1,8;;CESAR;LA_JAGUA_DE_IBIRICO;6; 0.60;225;5,5;6,5;8,3;Revisado
2015-12-30;17:51:46;9,568;-73,456;0;2,4;;CESAR;LA_JAGUA_DE_IBIRICO;6; 0.50;127;6,7;3,8;7;Revisado
2016-01-03;17:12:54;9,671;-73,423;0;1,8;;CESAR;LA_JAGUA_DE_IBIRICO;6; 0.30;165;2,8;2,5;3,7;Revisado
2016-01-07;17:20:35;9,538;-73,335;13,9;2,1;;CESAR;LA_JAGUA_DE_IBIRICO;8; 0.60;163;4;7,4;10,9;Revisado
2016-01-09;20:07:36;9,538;-73,485;0;1,9;;CESAR;LA_JAGUA_DE_IBIRICO;5; 0.60;176;5,9;6,2;7,9;Revisado
2016-01-09;20:13:25;9,564;-73,481;0;2,3;;CESAR;LA_JAGUA_DE_IBIRICO;9; 0.30;138;2,5;3,3;3,6;Revisado
2016-01-23;17:32:14;9,767;-73,53;0;2,3;;CESAR;EL_PASO;8; 0.30;112;2,2;3,7;4,3;Revisado
2016-02-09;21:13:49;9,651;-73,34;2,8;2,2;;CESAR;BECERRIL;6; 0.30;145;2,2;4;2,7;Revisado
2016-02-10;17:45:09;9,525;-73,504;1,2;1,9;;CESAR;LA_JAGUA_DE_IBIRICO;4; 0.60;170;4,6;4,3;7,1;Revisado
2016-02-12;17:50:27;9,578;-73,601;0;1,9;;CESAR;EL_PASO;4; 0.70;218;5,4;10,3;9,9;Revisado
2016-02-13;17:16:09;9,586;-73,347;0;1,9;;CESAR;LA_JAGUA_DE_IBIRICO;7; 0.50;161;3,6;5,2;8;Revisado
2016-02-13;19:59:11;9,563;-73,604;0;1,9;;CESAR;EL_PASO;5; 0.40;218;3,1;4,2;3,9;Revisado
2016-02-20;21:51:57;9,593;-73,57;0;2;;CESAR;EL_PASO;4; 0.70;216;4,3;16,6;9,8;Revisado
2016-03-05;20:07:56;9,572;-73,467;0;2,3;;CESAR;LA_JAGUA_DE_IBIRICO;6; 0.80;111;4,2;5,2;9,3;Revisado
2016-03-24;17:28:10;9,734;-73,446;0;2;;CESAR;BECERRIL;7; 0.70;108;3,3;6,3;8,5;Revisado
2016-03-27;18:09:55;9,629;-73,445;0;2,4;;CESAR;LA_JAGUA_DE_IBIRICO;6; 0.50;116;7,1;5,2;8,3;Revisado
2016-06-19;07:35:07;9,384;-73,325;5,6;1,1;;CESAR;LA_JAGUA_DE_IBIRICO;5; 0.20;165;1,5;2,2;3,8;Revisado
2016-09-20;12:16:39;9,854;-73,668;11,4;1,4;;CESAR;EL_PASO;4; 0.20;164;5,3;1,2;3,7;Revisado
2016-09-29;17:25:35;9,703;-73,319;0;1,8;;CESAR;BECERRIL;10; 0.70;147;5,5;6,1;9,2;Revisado
2016-12-22;05:24:10;9,541;-73,664;3,5;1,3;;CESAR;EL_PASO;4; 0.40;220;11,4;1,5;6,8;Revisado
2017-01-15;22:48:30;9,591;-73,365;0;2,2;;CESAR;LA_JAGUA_DE_IBIRICO;7; 0.60;131;3,7;6,5;7,9;Revisado
2017-02-03;22:53:00;9,627;-73,439;0;2,2;;CESAR;LA_JAGUA_DE_IBIRICO;10; 0.50;105;2,8;3,6;3,8;Revisado
2017-04-19;17:29:12;9,755;-73,538;0;2,1;;CESAR;EL_PASO;6; 0.70;123;4,7;5,6;8,7;Revisado
2017-05-28;17:29:13;9,612;-73,397;0;1,7;;CESAR;LA_JAGUA_DE_IBIRICO;6; 0.80;166;8;5,9;12,4;Revisado
2017-07-02;22:46:10;9,622;-73,308;0;2;;CESAR;LA_JAGUA_DE_IBIRICO;7; 0.60;171;4,6;6,1;5,8;Revisado
2017-08-16;14:57:28;9,552;-73,397;10,6;1,4;;CESAR;LA_JAGUA_DE_IBIRICO;7; 0.70;128;4,7;3,8;6,2;Revisado
2017-10-01;17:19:19;9,653;-73,342;0;2;;CESAR;BECERRIL;8; 0.60;132;3,2;3,9;6,7;Revisado
2017-10-08;08:30:56;9,648;-73,628;16;1,2;;CESAR;EL_PASO;6; 0.70;203;7,7;3,5;6,1;Revisado
2017-10-11;16:56:31;9,742;-73,511;0;1,8;;CESAR;BECERRIL;5; 0.70;124;4,6;4;9;Revisado
2017-10-19;17:34:44;9,875;-73,523;0;1,9;;CESAR;BECERRIL;4; 0.40;133;3;2,5;5,5;Revisado
2017-11-01;17:31:53;9,876;-73,56;0;1,9;;CESAR;EL_PASO;6; 0.60;121;4;3,5;7,7;Revisado
2017-11-01;22:47:39;9,637;-73,459;0;1,8;;CESAR;LA_JAGUA_DE_IBIRICO;8; 0.70;127;3,3;3,2;5,8;Revisado
2017-11-06;17:30:51;9,85;-73,493;0;2,1;;CESAR;BECERRIL;11; 0.70;124;2,9;3,8;6;Revisado
2018-01-02;02:40:24;9,855;-73,52;8;1,1;;CESAR;BECERRIL;9; 0.40;110;1,9;2;5,2;Revisado
2018-02-13;05:08:09;9,861;-73,621;13;0,9;;CESAR;EL_PASO;7; 0.30;122;2,2;1,7;3,2;Revisado
