"Fecha-Hora  (UTC)","Lat(°)","Long(°)","Prof(Km)","Mag.","Tipo Mag.","Fases","Rms(Seg)","Gap(°)","Error Lat(Km)","Error Long(Km)","Error Prof(Km)","Region","QuakeML","Fases","Mapa","Estado"
"2018-04-12 14:52:17","9.583","-73.509","4.68","1.1","MLr_4","10","0.4","139","1.768","1.768","2.60","Chiriguaná - Cesar, Colombia","","","","manual"
"2018-04-15 04:02:39","9.879","-73.309","10.65","1.0","MLr_4","30","0.2","143","0.354","0.354","0.70","Agustín Codazzi - Cesar, Colombia","","","","manual"
"2018-04-27 22:57:15","9.637","-73.537","4.8","1.8","MLr_4","12","0.7","134","2.263","2.263","5.80","El Paso - Cesar, Colombia","","","","manual"
"2018-05-24 16:54:00","9.619","-73.471","0","1.2","MLr_4","7","0.4","108","1.980","1.980","6.00","El Paso - Cesar, Colombia","","","","manual"
"2018-05-25 18:09:30","9.673","-73.427","12","1.5","MLr_4","9","0.3","149","2.263","2.263","3.30","La Jagua de Ibirico - Cesar, Colombia","","","","manual"
"2018-07-03 07:48:07","9.515","-73.505","5.09","1.6","MLr_4","34","0.6","120","0.919","0.919","1.60","La Jagua de Ibirico - Cesar, Colombia","","","","manual"
"2018-07-04 02:49:42","9.477","-73.742","12.56","1.4","MLr_4","24","0.3","85","0.566","0.566","2.20","Chiriguaná - Cesar, Colombia","","","","manual"
"2018-07-24 07:01:35","9.488","-73.326","7.9","0.6","MLr_4","8","0.3","242","1.697","1.697","1.90","La Jagua de Ibirico - Cesar, Colombia","","","","manual"
"2018-08-08 08:31:57","9.743","-73.458","-0.11","0.7","MLr_4","11","0.4","174","0.849","0.849","2.50","Becerrill - Cesar, Colombia","","","","manual"
"2018-08-26 16:51:48","9.705","-73.492","11.52","1.4","MLr_4","11","0.7","171","2.475","2.475","5.90","Becerrill - Cesar, Colombia","","","","manual"
"2018-09-02 21:59:49","9.472","-73.72","11.08","0.8","MLr_4","21","0.4","86","0.849","0.849","2.60","Chiriguaná - Cesar, Colombia","","","","manual"
"2018-09-05 13:44:31","9.47","-73.727","17.08","0.9","MLr_4","16","0.2","166","0.636","0.636","0.90","Chiriguaná - Cesar, Colombia","","","","manual"
"2018-11-12 16:57:10","9.643","-73.461","2.36","0.9","MLr_4","10","0.5","136","2.051","2.051","3.50","La Jagua de Ibirico - Cesar, Colombia","","","","manual"
"2018-12-01 12:17:59","9.814","-73.419","7.51","1.4","MLr_4","25","0.2","111","0.495","0.495","1.10","Agustín Codazzi - Cesar, Colombia","","","","manual"
"2018-12-20 05:24:03","9.752","-73.468","0","1.1","MLr_4","10","0.8","110","2.192","2.192","5.70","Becerrill - Cesar, Colombia","","","","manual"
"2019-01-07 18:47:44","9.797","-73.464","6.32","1.1","MLr_4","12","0.5","111","1.626","1.626","4.70","Agustín Codazzi - Cesar, Colombia","","","","manual"
"2019-02-07 16:19:06","9.554","-73.338","2.17","1.5","MLr_4","21","0.6","147","1.061","1.061","2.00","La Jagua de Ibirico - Cesar, Colombia","","","","manual"
"2019-02-28 07:08:46","9.765","-73.467","13.66","0.8","MLr_4","8","0.3","131","1.061","1.061","3.60","Becerrill - Cesar, Colombia","","","","manual"
"2019-03-16 06:14:47","9.632","-73.542","12.31","0.7","MLr_4","12","0.6","127","1.838","1.838","3.90","El Paso - Cesar, Colombia","","","","manual"
"2019-03-20 14:20:09","9.379","-73.429","0.93","1.9","MLr_4","47","0.9","76","1.061","1.061","1.10","Curumaní - Cesar, Colombia","","","","manual"
"2019-04-16 09:11:22","9.764","-73.462","-0.08","0.9","MLr_4","17","0.4","110","0.778","0.778","1.70","Becerrill - Cesar, Colombia","","","","manual"
"2019-04-19 04:28:15","9.757","-73.466","-0.01","0.8","MLr_4","12","0.4","179","0.919","0.919","2.00","Becerrill - Cesar, Colombia","","","","manual"
"2019-04-20 12:05:46","9.484","-73.516","3.64","0.9","MLr_4","14","0.6","113","1.556","1.556","2.00","Chiriguaná - Cesar, Colombia","","","","manual"
"2019-04-22 15:48:09","9.48","-73.538","4.51","0.6","MLr_4","13","0.3","137","0.990","0.990","2.80","Chiriguaná - Cesar, Colombia","","","","manual"
"2019-04-23 08:10:24","9.482","-73.537","5.34","0.7","MLr_4","13","0.3","136","1.131","1.131","2.70","Chiriguaná - Cesar, Colombia","","","","manual"
"2019-04-23 17:37:55","9.486","-73.542","2.12","0.5","MLr_4","13","0.3","137","0.778","0.778","1.60","Chiriguaná - Cesar, Colombia","","","","manual"
"2019-04-25 07:06:15","9.787","-73.47","2.87","0.5","MLr_4","9","0.1","217","0.778","0.778","1.70","Agustín Codazzi - Cesar, Colombia","","","","manual"
"2019-04-27 06:21:20","9.482","-73.519","5.46","0.9","MLr_4","23","0.4","110","0.849","0.849","1.80","Chiriguaná - Cesar, Colombia","","","","manual"
"2019-04-27 16:15:38","9.481","-73.548","3.61","1.4","MLr_4","22","0.3","139","0.778","0.778","1.30","Chiriguaná - Cesar, Colombia","","","","manual"
"2019-05-10 08:53:35","9.676","-73.447","10.72","0.7","MLr_4","12","0.3","153","0.990","0.990","1.50","La Jagua de Ibirico - Cesar, Colombia","","","","manual"
"2019-05-16 03:04:25","9.371","-73.489","5.24","1.4","MLr_4","29","0.7","124","1.556","1.556","2.00","Chiriguaná - Cesar, Colombia","","","","manual"
"2019-06-15 05:25:13","9.581","-73.689","14.8","0.7","MLr_4","11","0.4","196","1.838","1.838","4.40","El Paso - Cesar, Colombia","","","","manual"
"2019-08-27 07:52:44","9.755","-73.474","-0.19","1.0","MLr_4","14","0.3","149","0.778","0.778","2.20","Becerrill - Cesar, Colombia","","","","manual"
"2019-09-27 17:22:18","9.762","-73.473","10.01","1.0","MLr_4","12","0.3","286","1.697","1.697","1.80","Agustín Codazzi - Cesar, Colombia","","","","manual"
"2019-10-19 11:47:29","9.75","-73.304","5.04","1.2","MLr_4","19","0.3","147","0.707","0.707","1.80","Becerrill - Cesar, Colombia","","","","manual"
"2019-11-11 10:47:18","9.709","-73.549","15.62","1.4","MLr_4","16","0.4","110","0.990","0.990","1.20","Becerrill - Cesar, Colombia","","","","manual"
"2019-11-11 10:47:29","9.709","-73.573","17.64","1.2","MLr_4","8","0.1","176","1.414","1.414","2.20","Becerrill - Cesar, Colombia","","","","manual"
"2019-12-19 14:29:49","9.408","-73.597","0","1.8","MLr_4","29","1.0","75","1.626","1.626","4.10","Chiriguaná - Cesar, Colombia","","","","manual"
"2020-05-28 20:08:06","9.364","-73.504","14.57","1.3","MLr_4","13","0.3","139","1.061","1.061","4.60","Chiriguaná - Cesar, Colombia","","","","manual"
"2020-06-18 09:28:16","9.667","-73.456","12.16","1.6","MLr_4","18","0.8","112","1.909","1.909","2.80","La Jagua de Ibirico - Cesar, Colombia","","","","manual"
"2020-07-01 20:32:06","9.371","-73.505","0","1.4","MLr_4","16","0.4","138","0.990","0.990","3.00","Chiriguaná - Cesar, Colombia","","","","manual"
"2020-08-10 04:54:49","9.481","-73.543","14.29","1.6","MLr_4","14","0.9","123","2.546","2.546","3.60","Chiriguaná - Cesar, Colombia","","","","manual"
"2020-11-06 17:29:27","9.532","-73.439","-0.08","1.5","MLr_4","9","0.5","149","1.273","1.273","3.50","La Jagua de Ibirico - Cesar, Colombia","","","","manual"
"2020-11-25 00:00:05","9.547","-73.488","-0.11","1.4","MLr_4","13","0.4","124","0.566","0.566","1.50","La Jagua de Ibirico - Cesar, Colombia","","","","manual"
"2020-11-25 03:20:17","9.541","-73.488","0.89","1.0","MLr_4","10","0.2","137","1.344","1.344","5.10","La Jagua de Ibirico - Cesar, Colombia","","","","manual"
"2020-12-08 17:34:30","9.737","-73.323","7.48","1.8","MLr_4","16","1.0","101","2.546","2.546","3.40","Becerrill - Cesar, Colombia","","","","manual"
"2020-12-10 17:26:13","9.59","-73.37","0","2.2","MLr_4","30","1.2","70","1.838","1.838","3.70","La Jagua de Ibirico - Cesar, Colombia","","","","manual"
"2020-12-11 17:25:34","9.739","-73.428","-0.03","1.7","MLr_4","12","1.0","105","1.980","1.980","3.70","Becerrill - Cesar, Colombia","","","","manual"
"2020-12-16 04:58:06","9.722","-73.483","9.2","1.0","MLr_4","12","0.5","96","1.273","1.273","2.40","Becerrill - Cesar, Colombia","","","","manual"
"2020-12-31 09:24:15","9.666","-73.499","12.35","1.1","MLr_4","14","0.3","148","0.778","0.778","2.10","El Paso - Cesar, Colombia","","","","manual"
"2021-03-10 06:28:07","9.77","-73.352","0.53","1.5","MLr_4","19","0.6","105","1.061","1.061","2.20","Becerrill - Cesar, Colombia","","","","manual"
"2021-06-07 17:26:41","9.732","-73.464","-0.02","1.4","MLr_4","15","0.6","121","1.061","1.061","2.70","Becerrill - Cesar, Colombia","","","","manual"
"2021-07-30 05:51:07","9.686","-73.415","15.86","2.2","MLr_4","41","0.8","92","1.131","1.131","1.40","Becerrill - Cesar, Colombia","","","","manual"
"2021-08-20 06:01:13","9.618","-73.347","8.54","1.5","MLr_4","16","0.5","146","1.344","1.344","2.90","Becerrill - Cesar, Colombia","","","","manual"
"2021-08-30 17:34:49","9.762","-73.522","0","2.0","MLr_4","16","1.1","146","1.768","1.768","5.80","Agustín Codazzi - Cesar, Colombia","","","","manual"
"2021-09-02 17:37:34","9.782","-73.505","3","2.3","MLr_4","15","1.0","135","3.041","3.041","6.00","Agustín Codazzi - Cesar, Colombia","","","","manual"
"2021-09-03 17:22:29","9.551","-73.499","-0.01","2.3","MLr_4","13","1.1","150","3.323","3.323","9.00","La Jagua de Ibirico - Cesar, Colombia","","","","manual"
"2021-09-05 17:24:37","9.544","-73.494","-0.01","2.1","MLr_4","13","0.9","126","3.323","3.323","9.00","La Jagua de Ibirico - Cesar, Colombia","","","","manual"
"2021-09-06 17:30:47","9.77","-73.49","0","2.1","MLr_4","18","0.9","136","1.768","1.768","6.10","Agustín Codazzi - Cesar, Colombia","","","","manual"
"2021-10-08 00:26:43","9.544","-73.358","9.5","2.2","MLr_4","14","0.5","131","1.556","1.556","5.40","La Jagua de Ibirico - Cesar, Colombia","","","","manual"
"2021-10-09 17:43:32","9.607","-73.517","0","2.0","MLr_4","17","1.6","125","1.909","1.909","5.80","El Paso - Cesar, Colombia","","","","manual"
"2021-10-13 17:26:26","9.784","-73.54","0","2.2","MLr_4","15","0.8","114","1.980","1.980","8.60","Agustín Codazzi - Cesar, Colombia","","","","manual"
"2021-10-18 17:30:42","9.816","-73.543","0","2.3","MLr_4","25","1.4","122","1.980","1.980","6.30","Agustín Codazzi - Cesar, Colombia","","","","manual"
"2021-10-22 17:29:18","9.588","-73.319","0","2.0","MLr_4","8","0.6","263","5.657","5.657","9.40","La Jagua de Ibirico - Cesar, Colombia","","","","manual"
"2021-10-24 17:33:03","9.861","-73.619","0","2.1","MLr_4","8","0.4","119","2.546","2.546","7.80","Valledupar - Cesar, Colombia","","","","manual"
"2021-10-29 17:31:19","9.765","-73.452","0","2.3","MLr_4","21","1.9","64","2.192","2.192","5.90","Becerrill - Cesar, Colombia","","","","manual"
"2021-11-03 09:32:23","9.741","-73.317","0","1.1","MLr_4","11","1.7","101","3.041","3.041","5.00","Becerrill - Cesar, Colombia","","","","manual"
"2021-11-05 17:31:22","9.872","-73.591","0","2.2","MLr_4","19","0.7","120","1.344","1.344","4.30","Valledupar - Cesar, Colombia","","","","manual"
"2021-11-24 17:29:20","9.598","-73.485","-0.4","2.2","MLr_4","15","1.2","104","2.616","2.616","5.40","El Paso - Cesar, Colombia","","","","manual"
"2022-01-08 08:46:47","9.487","-73.586","2.02","1.6","MLr_4","13","0.4","87","0.990","0.990","2.10","Chiriguaná - Cesar, Colombia","","","","manual"
"2022-02-10 05:25:19","9.876","-73.556","7.03","2.0","MLr_4","10","0.4","143","1.414","1.414","5.60","La Paz - Cesar, Colombia","","","","manual"
"2022-06-04 09:26:36","9.789","-73.362","2.38","1.7","MLr_4","23","0.6","143","1.131","1.131","2.70","Agustín Codazzi - Cesar, Colombia","","","","manual"
"2022-06-09 06:49:31","9.783","-73.363","0.16","1.0","MLr_4","16","0.4","157","1.131","1.131","2.40","Becerrill - Cesar, Colombia","","","","manual"
"2022-10-12 11:21:19","9.575","-73.489","9.76","1.6","MLr_4","17","0.5","105","1.485","1.485","1.10","La Jagua de Ibirico - Cesar, Colombia","","","","manual"
"2022-11-07 17:26:29","9.6","-73.444","7.22","2.0","M","5","0.8","167","3.420","4.183","4.86","La Jagua de Ibirico - Cesar, Colombia","","","","automatic"